# PIP_Player1 PIP_Player2 Win_Prob_Player1

# gnuplot> set dgrid3d 50,50,50
# set contour base
# splot 'pip2winning.dat' using 1:2:(($3-.1)/.8) with points pt 7 ps .3 palette
# set cntrparam bspline
# set cntrparam levels 9



93 79 0.354400
79 87 0.684000
87 75 0.380000
75 80 0.677600
80 68 0.368800
68 77 0.711200
77 59 0.242400
59 69 0.764000
69 54 0.256800
54 62 0.743200
62 45 0.231200
45 58 0.826400
58 34 0.154400
34 48 0.868000
48 16 0.112800
16 39 0.896800
39 11 0.103200
107 84 0.252000
84 97 0.730400
97 75 0.253600
75 86 0.709600
86 65 0.260000
65 80 0.784800
80 56 0.215200
56 73 0.786400
73 46 0.192800
46 70 0.842400
70 30 0.108000
30 64 0.893600
115 85 0.199200
85 110 0.836000
110 78 0.199200
78 100 0.807200
100 73 0.224800
73 93 0.808800
93 66 0.234400
66 86 0.804000
86 59 0.212000
59 83 0.834400
83 52 0.183200
52 76 0.844000
76 47 0.196000
47 64 0.780000
64 38 0.197600
38 58 0.842400
58 30 0.135200
30 53 0.890400
53 24 0.111200
24 49 0.892000
49 12 0.101600
100 85 0.370400
85 91 0.621600
91 80 0.410400
80 82 0.567200
82 73 0.464800
73 76 0.549600
76 67 0.442400
67 71 0.600800
71 63 0.471200
63 64 0.527200
64 57 0.492000
57 55 0.472800
55 48 0.535200
48 46 0.474400
46 43 0.660000
43 39 0.397600
39 38 0.676000
38 31 0.269600
31 27 0.637600
27 19 0.159200
19 22 0.860000
22 14 0.157600
14 12 0.661600
12 5 0.111200
5 8 0.900000
8 1 0.100000
1 4 0.900000
4 0 0.100000
99 98 0.548000
98 91 0.479200
91 88 0.460000
88 81 0.460000
81 82 0.538400
82 73 0.463200
73 71 0.487200
71 67 0.583200
67 66 0.536800
66 64 0.538400
64 54 0.394400
54 56 0.615200
56 51 0.514400
51 48 0.480800
48 44 0.551200
44 28 0.316000
28 35 0.658400
35 19 0.352800
19 32 0.664800
32 14 0.336800
14 28 0.749600
28 9 0.271200
9 20 0.762400
20 7 0.295200
7 14 0.751200
14 5 0.304800
5 8 0.775200
8 3 0.287200
3 3 0.799200
3 1 0.236000
1 1 0.900000
1 0 0.100000
112 102 0.423200
102 101 0.589600
101 82 0.272800
82 93 0.746400
93 74 0.232800
74 88 0.800800
88 67 0.204000
67 82 0.805600
82 60 0.188000
60 71 0.797600
71 44 0.136800
44 63 0.866400
63 35 0.144800
35 57 0.874400
57 31 0.138400
31 48 0.852000
48 22 0.128800
22 42 0.879200
42 19 0.136800
19 38 0.887200
38 13 0.106400
13 28 0.888800
28 9 0.103200
85 85 0.616800
85 80 0.479200
80 76 0.556000
76 76 0.554400
76 60 0.303200
60 60 0.476000
